W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00
W_00,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_00
W_00,W_01,1,1,1,1,14,W_01,15,1,W_01,W_01,W_00
W_00,W_01,W_01,1,W_01,W_01,W_01,W_01,W_01,1,W_01,W_01,W_00
W_00,W_01,1,1,1,1,1,W_01,M_000,1,M_000,W_01,W_00
W_00,W_01,M_000,W_01,W_01,W_01,1,1,1,1,1,W_01,W_00
W_00,W_01,1,1,1,1,1,W_01,W_01,1,W_01,W_01,W_00
W_00,W_01,W_01,1,W_01,W_01,1,6,1,1,M_000,W_01,W_00
W_00,W_01,M_000,1,1,W_01,1,W_01,W_01,W_01,5,W_01,W_00
W_00,W_01,1,M_000,1,W_01,1,W_01,M_000,1,1,W_01,W_00
W_00,W_01,1,1,1,W_01,M_000,W_01,I_02,I_01,I_01,W_01,W_00
W_00,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_01,W_00
W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00
