,,,,,0,0,0,,,,,,,,,,
,,,,,W_03,14,W_03,,,,,,,,,,
,,,,,W_02,1,W_03,,,,,,,,,,
,,W_03,W_03,W_03,W_02,M_004,W_02,,,,,,,,,,
,,W_02,1,1,M_003,1,W_02,W_02,W_03,W_03,W_03,W_02,,,,,
,,W_02,13,W_02,W_02,W_03,W_03,1,1,I_03,1,W_02,W_00,W_00,W_00,W_00,
,,W_00,1,1,1,1,W_00,1,W_02,W_03,1,1,1,1,1,W_00,W_00
,,W_00,1,I_03,I_03,1,W_00,1,W_03,W_02,1,W_02,W_03,W_03,1,1,W_00
,,W_00,1,I_03,1,1,W_00,1,1,1,1,W_02,W_03,W_02,1,1,W_00
,,W_00,1,W_00,W_00,W_00,W_00,1,1,W_02,W_03,W_03,W_02,W_03,M_002,M_002,W_00
,,W_00,I_04,M_000,1,1,1,1,1,W_03,W_03,W_02,W_02,1,1,1,W_00
W_00,W_00,W_00,W_00,1,1,W_01,1,W_02,1,W_02,W_03,W_02,W_02,3,W_00,W_01,W_00
W_00,1,1,1,1,1,1,1,W_02,1,M_003,M_004,I_00,W_01,1,1,1,W_00
W_00,1,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,M_002,1,W_00
W_00,1,W_00,M_000,1,1,1,M_000,1,1,1,1,1,1,W_00,I_04,1,W_00
W_00,1,W_01,1,W_00,W_00,W_00,W_00,W_00,W_00,W_00,1,1,1,W_00,W_00,M_003,W_00
W_00,1,M_001,1,W_00,,,,,,W_00,1,1,1,W_00,12,1,W_00
W_00,W_00,W_00,W_00,W_00,,,,,,W_00,1,1,1,W_00,W_00,W_00,W_00
,,,,,,,,,,W_00,1,1,1,W_00,,,
,,,,,,,,,,W_00,1,1,1,W_00,,,
,,,,,,,,,,W_00,1,1,1,W_00,,,
,,,,,,,,,,W_00,1,1,1,W_00,,,
,,,,,,,,,,W_00,1,11,1,W_00,,,
,,,,,,,,,,0,0,0,0,0,,,
