W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00
W_00,1,1,1,1,1,1,1,1,1,1,1,1,1,W_00
W_00,1,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,1,W_00
W_00,14,1,M_000,1,1,1,1,1,1,M_000,1,1,1,W_00
W_00,W_00,W_00,W_00,W_00,W_00,1,W_00,W_00,W_00,W_00,W_00,W_00,1,W_00
W_00,1,1,1,1,1,1,W_00,1,1,1,1,1,1,W_00
W_00,1,W_00,W_00,W_00,W_00,1,W_00,1,W_00,W_00,W_00,W_00,1,W_00
W_00,1,W_00,I_00,1,1,1,W_00,1,1,1,1,1,1,W_00
W_00,1,W_00,W_00,W_00,W_00,1,W_00,W_00,W_00,W_00,W_00,W_00,1,W_00
W_00,1,1,1,1,1,1,W_00,4,W_00,1,1,1,1,W_00
W_00,W_00,W_00,W_00,W_00,W_00,1,W_00,W_00,W_00,W_00,W_00,W_00,1,W_00
W_00,1,1,1,1,1,1,W_00,M_000,1,1,1,1,1,W_00
W_00,1,W_00,W_00,W_00,W_00,1,W_00,W_00,W_00,W_00,W_00,W_00,1,W_00
W_00,1,1,1,1,1,1,1,1,1,1,1,1,15,W_00
W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00,W_00
